name,type,description
Function Analysis Domain,domain,Function analysis focuses on identifying and understanding individual functions within binaries. Static analysts examine function code and structure to infer its purpose, such as network communication or file manipulation.
API Analysis Domain,domain,API analysis examines the list of API or system calls a binary imports. Static analysis uses this domain to infer behavior (e.g., networking, file I/O) by seeing which functions a program relies on.
Software Supply Chain Domain,domain,The software supply chain domain involves examining third-party components and updates in software. Static analysis checks libraries and dependencies for malicious code injected into the supply chain.
File Carving Domain,domain,File carving is the process of reconstructing files from raw data fragments. In static analysis, it involves scanning disk images or memory dumps for file signatures to recover malware samples without execution.
Operating System Internals,domain,Operating system internals covers knowledge of how OS components work. Static malware analysis leverages this domain to understand how malware might use OS features, like the Windows registry or Linux syscalls.
Network Traffic Domain,domain,The network traffic domain deals with analyzing captured data packets. Static analysis is less common here, but sometimes analysts review stored packet files for known patterns (like malware C2 communications) without live capture.
Scripting Languages Domain,domain,This domain covers malware written in scripts (like PowerShell, VBA, JavaScript). Static analysis involves reading the script code and decoding any obfuscation to detect malicious commands or payloads.
Reverse Engineering Practices,domain,This domain includes common practices and methodologies for reverse engineering. Static analysis techniques like control flow reconstruction and string analysis are taught and applied within this field.
Threat Hunting Domain,domain,Threat hunting is the proactive search for threats. Static analysis aids threat hunting by providing indicators from file analysis (like hashes and signatures) that can be used to scan systems for hidden malware.
Code Visualization Domain,domain,Code visualization covers techniques to graphically represent binaries (e.g., call graphs, control flow graphs). In static analysis, visualization tools help analysts see the structure of code, making it easier to spot anomalies.
Entropy Analysis,domain,Entropy analysis is the domain of using entropy measures on file data. Static analysts use this to spot encrypted or packed sections in malware, as such sections typically have higher entropy than normal code.
Static Binary Analysis,domain,Static binary analysis refers to the broad process of examining executable code without running it. This domain encompasses all static techniques, focusing on learning about a program solely from its binary form.
Malware Research Domain,domain,The malware research domain involves deep investigation of malware behavior. Static analysis in this field includes dissecting code, studying infection methods, and identifying payloads in a controlled environment.
Obfuscated Code Domain,domain,Obfuscated code domain deals with techniques and studies of code that has been intentionally made hard to read. Static analysis in this domain focuses on methods to deobfuscate and simplify such code for examination.
Code Signing Verification,domain,This domain involves verifying digital signatures on executables. Static analysis verifies certificates and signing chains to ensure code integrity and detect tampered or malicious unsigned binaries.
Executable Packing Domain,domain,Executable packing domain covers the study of packers and crypters used to compress or encrypt binaries. Static analysis detects packing by unusual patterns and then applies unpacking to recover the original code.
Malicious Code Domains,domain,This domain covers various categories of malicious code (like viruses, trojans, ransomware). Static analysis in this domain focuses on the specific traits and indicators typical of each malware type.
Language Domains,domain,Language domains cover malware written in specific languages (like C, C++, Python). Static analysis techniques differ slightly depending on language and compilation targets, affecting how code is disassembled or decompiled.
Hardware Platform Domain,domain,This domain includes different CPU architectures and device types (e.g., x86, ARM). Static analysis must account for architecture-specific details when disassembling or emulating code.
Code Emulation Domain,domain,Code emulation domain involves the static use of CPU emulation to analyze code paths. Analysts use static emulators like Unicorn in this domain to symbolically execute code sections without running them on the original hardware.


